unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,color,green-c,0.010368466,green-c,63326720,3349727,684238,0.010368466,plant,3760075,1619175,51047,0.009580528,neck,812426,603813,6345,0.004500338,food,1104928,938351,12475,0.006142887,bar-s,765184,837481,8603,0.005396904,dotted,2935296,345067,18848,0.005778909
2,texture,perforated,0.005495854,black-c,139916835,1976000,485463,0.003433081,person,14523849,982899,56723,0.003671386,leg,2786636,375934,10428,0.003308227,food,1104928,445181,3449,0.002229967,street-s,28111104,524056,72912,0.00255274,perforated,1793792,279092,11330,0.005495854
3,texture,dotted,0.025160554,green-c,63326720,3756979,832819,0.012570686,plant,3760075,2158711,87221,0.014956705,arm,2299112,887633,20966,0.006622699,food,1104928,683782,11801,0.006641308,ball_pit-s,275968,1031383,18947,0.014705791,dotted,2935296,656354,88150,0.025160554
4,texture,studded,0.025190781,black-c,139916835,2890212,686535,0.004830654,car,5354795,1469155,42162,0.006216945,wheel,1513439,623160,13735,0.006470033,glass,2246777,661086,10218,0.003526312,casino-indoor-s,652288,792984,7762,0.005399615,studded,1593088,393824,48822,0.025190781
5,texture,chequered,0.014940479,red-c,21004512,2621088,128077,0.00545066,wall,48917895,1234181,264799,0.005307947,arm,2299112,418247,16030,0.005934116,painted,13470129,675596,72553,0.005155412,conference_room-s,2308096,682503,11265,0.003781046,chequered,1530368,295787,26882,0.014940479
6,texture,striped,0.025505639,white-c,72511065,3105929,1028883,0.013794196,windowpane,8841352,1546091,115456,0.01123989,column,193649,503979,6292,0.009101219,glass,2246777,503247,15269,0.005583316,building_facade-s,3148544,921971,30570,0.007566935,striped,2433536,480950,72487,0.025505639
7,texture,zigzagged,0.036835752,white-c,72511065,3022611,469344,0.006252557,motorbike,1440771,1335569,28050,0.010206346,wheel,1513439,612148,30047,0.014338548,paper,471596,573279,4241,0.0040754,greenhouse-indoor-s,363776,645482,3891,0.003870228,zigzagged,1618176,809324,86242,0.036835752
8,color,red-c,0.033144792,red-c,21004512,3130862,774298,0.033144792,flower,591549,1515261,28243,0.013587727,hand,398768,558264,10706,0.011313226,food,1104928,647924,8766,0.005026128,ball_pit-s,275968,808396,8882,0.008258623,dotted,2935296,632191,60945,0.017380371
9,color,red-c,0.056066255,red-c,21004512,3319748,1291368,0.056066255,person,14523849,1436303,160294,0.010145281,hand,398768,635020,9909,0.009677901,food,1104928,855065,14277,0.007337659,ball_pit-s,275968,723569,8523,0.008600282,dotted,2935296,642054,77020,0.02200364
10,scene,ball_pit-s,0.017725015,blue-c,61494563,3381326,908270,0.014198903,bus,1628191,1747892,49524,0.014887456,body,1291612,727296,16596,0.008288419,fabric,8548746,823590,44738,0.004796304,ball_pit-s,275968,888630,20283,0.017725015,zigzagged,1618176,468628,36172,0.01763944
11,texture,perforated,0.011919323,white-c,72511065,1981672,316594,0.004268138,car,5354795,993411,31070,0.004918368,wheel,1513439,438887,10733,0.005527935,paper,471596,420351,2325,0.00261347,shoe_shop-s,577024,522239,3198,0.00291771,perforated,1793792,345622,25200,0.011919323
12,color,orange-c,0.019005461,orange-c,30348501,3384667,629157,0.019005461,person,14523849,1583712,81978,0.005115446,hand,398768,593915,5228,0.005294418,food,1104928,907671,18525,0.009290026,ball_pit-s,275968,896801,11748,0.01011868,sprinkled,1718528,477233,24454,0.011262341
13,texture,dotted,0.013120715,white-c,72511065,1988136,264926,0.003568783,painting,2207098,970667,15535,0.004912672,wheel,1513439,440818,7306,0.003752534,glass,2246777,517916,10231,0.003714337,street-s,28111104,557056,85453,0.002989675,dotted,2935296,240649,41131,0.013120715
14,texture,chequered,0.031014157,white-c,72511065,3521719,835316,0.0111083,car,5354795,1621025,56029,0.008096921,screen,677188,695569,9457,0.006936844,glass,2246777,874887,22452,0.007244422,cockpit-s,539392,771582,6113,0.00468479,chequered,1530368,487403,60697,0.031014157
15,color,white-c,0.037134467,white-c,72511065,3384445,2717429,0.037134467,sky,36650987,1530364,510257,0.013545054,shade,197478,386818,11392,0.019884658,glass,2246777,521487,46300,0.017009777,ball_pit-s,275968,796929,8907,0.008371319,grid,1682240,627182,60339,0.026828267
16,color,blue-c,0.016141138,blue-c,61494563,2919144,1023195,0.016141138,windowpane,8841352,1605613,71916,0.00693163,screen,677188,469309,5568,0.004880234,glass,2246777,493001,14136,0.005186301,ball_pit-s,275968,869920,7976,0.007009329,dotted,2935296,455668,36468,0.01087138
17,texture,chequered,0.034109456,black-c,139916835,3062366,1552992,0.010980935,person,14523849,1119843,111167,0.007157046,body,1291612,509124,13449,0.007524813,leather,470954,849464,6591,0.005016642,conference_room-s,2308096,521064,13494,0.004792472,chequered,1530368,524999,67795,0.034109456
18,color,black-c,0.019669133,black-c,139916835,3293428,2762486,0.019669133,car,5354795,1425912,59136,0.008797943,wheel,1513439,685827,27192,0.01251891,glass,2246777,725063,8917,0.003009528,building_facade-s,3148544,696237,16267,0.004248907,chequered,1530368,458986,31538,0.016108766
19,texture,chequered,0.028129665,white-c,72511065,3003629,509839,0.006797413,windowpane,8841352,1375331,72948,0.007191434,leg,2786636,637905,19777,0.005808626,glass,2246777,821516,15506,0.005079293,living_room-s,9621248,754700,42807,0.00414269,chequered,1530368,386223,52438,0.028129665
20,texture,perforated,0.00949374,black-c,139916835,1689558,427993,0.003031576,building,35246027,784515,109980,0.003061756,wheel,1513439,315748,6121,0.003357531,metal,3462561,405650,9084,0.0023539,building_facade-s,3148544,426555,9223,0.002586461,perforated,1793792,250558,19226,0.00949374
21,color,pink-c,0.023997571,pink-c,18491188,3217283,508742,0.023997571,person,14523849,1757194,203230,0.012640401,hand,398768,760223,11905,0.010378472,fabric,8548746,600772,42983,0.004720017,ball_pit-s,275968,885716,9590,0.008323974,dotted,2935296,598484,64829,0.018688359
22,part,head,0.00713357,white-c,72511065,2654895,371518,0.004967187,floor,20378155,1233337,118448,0.005510992,head,4946761,516993,38700,0.00713357,metal,3462561,731179,18308,0.004384696,airport_terminal-s,1480192,643643,7876,0.003722189,frilly,1618176,304721,11191,0.005853934
23,texture,veined,0.055712737,green-c,63326720,3582980,2473359,0.038384535,grass,12961339,2123498,625295,0.043244454,body,1291612,575322,10811,0.005824506,food,1104928,352940,17491,0.012143349,park-s,1179136,958966,33987,0.016152634,veined,1806336,857507,140578,0.055712737
24,color,blue-c,0.048437225,blue-c,61494563,3716449,3012713,0.048437225,sky,36650987,2122872,628956,0.016488599,screen,677188,575932,32907,0.026968242,plastic-opaque,577397,317768,7810,0.008801438,ball_pit-s,275968,1087820,17990,0.013367534,bubbly,1517824,1042911,79577,0.032072524
