unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,color,purple-c,0.092690783,purple-c,10857154,3743342,1238531,0.092690783,bedclothes,1008092,1102165,25767,0.012361297,arm,2299112,363104,30514,0.011594778,fabric,8548746,286325,90927,0.010398616,casino-outdoor-s,163072,538142,12610,0.018312412,frilly,1618176,2166145,278528,0.079447931
2,color,purple-c,0.07030771,purple-c,10857154,3819281,964084,0.07030771,sky,36650987,1589749,606599,0.016118318,arm,2299112,417153,30522,0.011364453,plastic-opaque,577397,287137,7933,0.009261021,desert-vegetation-s,163072,877565,16178,0.01579175,frilly,1618176,1784415,200146,0.062497873
3,texture,perforated,0.046596935,white-c,72511065,2768803,483291,0.006461405,skyscraper,1270392,1517686,55265,0.020222752,body,1291612,431418,7703,0.004490689,plastic-opaque,577397,225280,4787,0.005999574,skyscraper-s,4402944,872612,92330,0.017813231,perforated,1793792,774335,114339,0.046596935
4,texture,chequered,0.014801095,black-c,139916835,2769782,879690,0.006203435,tree,21215516,1543919,197560,0.008756364,hair,1159565,644064,11541,0.006439974,food,1104928,516993,7439,0.00460767,mountain_snowy-s,1793792,799006,9526,0.003687571,chequered,1530368,377454,27826,0.014801095
5,texture,polka-dotted,0.0131112,white-c,72511065,2033417,511751,0.006912497,light,350013,953454,12399,0.009603677,headlight,104033,347820,1796,0.003990606,glass,2246777,461120,10558,0.003914228,casino-indoor-s,652288,522663,4384,0.003745194,polka-dotted,1705984,301817,25984,0.0131112
6,color,blue-c,0.059475586,blue-c,61494563,3798150,3665325,0.059475586,sky,36650987,2886724,2034859,0.05425878,screen,677188,383798,17428,0.016700557,plastic-opaque,577397,111267,3252,0.004744592,skyscraper-s,4402944,1591129,179693,0.030904929,bubbly,1517824,839665,108201,0.048104556
7,texture,swirly,0.020454615,white-c,72511065,2706288,354474,0.004734977,bus,1628191,1477315,31051,0.010099676,wheel,1513439,678752,25257,0.011655639,glass,2246777,563762,13354,0.004774085,building_facade-s,3148544,835374,26882,0.006793469,swirly,1605632,325760,38714,0.020454615
8,texture,striped,0.021729911,white-c,72511065,2874646,502325,0.006708097,motorbike,1440771,1478959,31680,0.010969339,wheel,1513439,660777,32815,0.01532408,metal,3462561,520481,15221,0.003836111,skyscraper-s,4402944,712315,24071,0.004727973,striped,2433536,539273,63225,0.021729911
9,object,grass,0.114073052,green-c,63326720,3764603,3378058,0.053019697,grass,12961339,2571717,1590473,0.114073052,base,72883,119995,1463,0.007643079,wallpaper,479323,168732,4994,0.007765982,fairway-s,288512,1127268,54647,0.040148171,veined,1806336,1010167,200585,0.076678627
10,texture,perforated,0.007333541,pink-c,18491188,2082156,95540,0.004665539,person,14523849,1076888,68237,0.004393176,hand,398768,439212,3977,0.004768568,paper,471596,517267,2971,0.003013515,building_facade-s,3148544,608422,17135,0.004581758,perforated,1793792,241193,14815,0.007333541
11,texture,banded,0.034475133,white-c,72511065,3393265,1039803,0.013889128,light,350013,1250338,18157,0.011475837,shade,197478,477090,8709,0.013079346,food,1104928,954015,16043,0.007853052,dining_room-s,5694976,745742,44880,0.007017063,banded,2571520,660861,107723,0.034475133
12,texture,striped,0.009077841,black-c,139916835,2269345,728123,0.005147271,car,5354795,1023949,25971,0.004088136,body,1291612,381431,4945,0.002964454,metal,3462561,527453,15266,0.003840747,airport_terminal-s,1480192,535701,5686,0.002828564,striped,2433536,336530,24920,0.009077841
13,texture,cobwebbed,0.015491956,white-c,72511065,2072496,311766,0.004197637,bicycle,1152271,1026737,16655,0.007702258,wheel,1513439,488277,19598,0.009887403,paper,471596,445863,2393,0.002615112,airport_terminal-s,1480192,491866,7053,0.003589304,cobwebbed,1505280,361049,28472,0.015491956
14,color,black-c,0.021477266,black-c,139916835,3503038,3015502,0.021477266,train,1646804,1354350,26832,0.009021216,coach,689166,595770,11746,0.009225646,leather,470954,1044693,6002,0.003975769,casino-indoor-s,652288,575901,8623,0.007070548,cobwebbed,1505280,253134,16377,0.009401063
