unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,part,arm,0.01733158,black-c,139916835,2571330,721375,0.005088463,cat,4163987,1170778,73520,0.013973879,arm,2299112,521686,48056,0.01733158,skin,177664,447750,4830,0.007782992,car_interior-backseat-s,163072,453139,3108,0.005069295,pleated,1505280,296117,20030,0.011244174
2,part,neck,0.055793535,pink-c,18491188,2877088,100805,0.004739868,bird,1030707,1560146,114473,0.046225943,neck,812426,965373,93948,0.055793535,skin,177664,304474,8037,0.016952084,pasture-s,852992,394185,6434,0.005185602,freckled,1555456,580616,37445,0.017842618
3,object,chair,0.011684295,black-c,139916835,2736558,611797,0.004307168,chair,4633108,1689846,73026,0.011684295,back,593570,405011,10640,0.010769874,leather,470954,459715,4757,0.005137637,conference_room-s,2308096,1110972,33757,0.00997161,,24924928,157384,134762,0.005401813
4,part,muzzle,0.010221451,orange-c,30348501,2228883,172953,0.005337326,cat,4163987,942753,36588,0.007216352,muzzle,666221,340892,10190,0.010221451,wood,9793596,468149,52331,0.005125759,living_room-s,9621248,519806,42756,0.004233981,waffled,1555456,178312,9257,0.005367898
5,part,monitor,0.025562288,orange-c,30348501,2735496,214382,0.006522194,computer,374106,1152787,17465,0.011570608,monitor,141433,454712,14859,0.025562288,wood,9793596,644330,91062,0.008800928,office-s,1542912,661120,18303,0.008373865,zigzagged,1618176,127988,6325,0.003635394
6,object,car,0.012148437,red-c,21004512,2181248,148035,0.006425765,car,5354795,1136702,77915,0.012148437,muzzle,666221,416046,9977,0.009304386,paper,471596,355396,3995,0.00485421,street-s,28111104,605927,134989,0.004722861,,24924928,115393,68231,0.00273229
7,part,muzzle,0.034002727,red-c,21004512,2620980,133938,0.005701539,dog,3793935,1241005,74297,0.014977292,muzzle,666221,575912,40847,0.034002727,food,1104928,339810,20762,0.014580302,plaza-s,439040,567536,5977,0.005973422,perforated,1793792,523619,55615,0.024588867
8,part,footboard,0.007391703,orange-c,30348501,1747383,92732,0.00289759,table,4805122,758037,31704,0.005731584,footboard,366693,163599,3891,0.007391703,carpet,4405463,386619,34793,0.007313619,galley-s,401408,412065,2672,0.003295507,zigzagged,1618176,137206,8961,0.005131065
9,object,bedclothes,0.01484613,red-c,21004512,2944807,132671,0.005570515,bedclothes,1008092,1278402,33449,0.01484613,arm,2299112,842324,37096,0.011949722,fabric,8548746,939151,96917,0.010320222,bus_interior-s,351232,345813,7128,0.010331678,sprinkled,1718528,147336,9514,0.005125111
10,part,screen,0.010260197,orange-c,30348501,2782402,136627,0.00414093,painting,2207098,1107732,33599,0.010239755,screen,677188,402273,10963,0.010260197,food,1104928,714900,17281,0.00958699,dining_room-s,5694976,585796,35232,0.005641146,interlaced,1630720,182714,10417,0.005777538
11,part,ear,0.020940185,yellow-c,34166024,2825380,181915,0.004942068,ceiling,12122565,1155140,239917,0.018401664,ear,784263,300001,22239,0.020940185,painted,13470129,554068,76977,0.005519164,corridor-s,1530368,700519,17024,0.007689726,honeycombed,1555456,372400,32842,0.017330743
12,part,wheel,0.075415367,pink-c,18491188,3146538,143708,0.006685953,building,35246027,1553592,758317,0.021040222,wheel,1513439,557754,145246,0.075415367,food,1104928,123757,7409,0.006066606,building_facade-s,3148544,1031647,66899,0.016264102,zigzagged,1618176,1156716,131314,0.04967283
13,part,neck,0.029697134,black-c,139916835,2579924,539497,0.003800418,cat,4163987,1212269,92103,0.01743004,neck,812426,583347,40255,0.029697134,metal,3462561,456837,21199,0.005438152,laundromat-s,363776,453836,4402,0.005413116,spiralled,1605632,294345,18126,0.009632006
14,texture,spiralled,0.012578205,yellow-c,34166024,2959329,149873,0.004053308,bottle,940208,1276266,16911,0.007688345,body,1291612,402759,16148,0.009622082,painted,13470129,608292,150127,0.010778563,tower-s,489216,601535,7053,0.006508271,spiralled,1605632,205274,22495,0.012578205
15,material,wood,0.016751211,orange-c,30348501,2799572,308266,0.009386961,sky,36650987,1336562,491740,0.013114532,garage door,63629,66294,1130,0.008773769,wood,9793596,494029,169491,0.016751211,skyscraper-s,4402944,743365,32587,0.006372462,honeycombed,1555456,348162,26694,0.014222206
16,texture,zigzagged,0.18901362,white-c,72511065,3779283,560666,0.007403517,folding door,62558,436870,6541,0.01327079,neck,812426,98221,4633,0.005113608,tile,3959469,170574,50396,0.01235303,wine_cellar-bottle_storage-s,150528,204440,4047,0.01153251,zigzagged,1618176,2920201,721451,0.18901362
17,material,food,0.026914147,yellow-c,34166024,2573214,712275,0.019770609,cabinet,5324231,1104944,49601,0.007774971,drawer,540514,293107,7005,0.00847431,food,1104928,632430,45534,0.026914147,bakery-shop-s,715008,628162,12979,0.009757245,waffled,1555456,383408,39475,0.020782999
18,texture,freckled,0.019347139,white-c,72511065,2806241,361669,0.004825107,cabinet,5324231,1188205,37500,0.005791563,roof,443437,286175,8122,0.011257259,painted,13470129,630904,123492,0.00883503,bathroom-s,9257472,703470,69907,0.007067713,freckled,1555456,103138,31480,0.019347139
19,part,crosswalk,0.028419136,white-c,72511065,2943546,389939,0.005194707,stairway,494268,1532949,37761,0.018980566,crosswalk,241792,385845,17344,0.028419136,plastic-opaque,577397,449395,16941,0.016775742,skyscraper-s,4402944,858864,73115,0.014091217,lined,1568000,234115,39712,0.022532871
20,scene,mountain_snowy-s,0.026810207,blue-c,61494563,2803670,533171,0.008361491,mountain,5469345,1859335,137398,0.01910619,tail,294840,403866,4398,0.006334365,food,1104928,113648,2825,0.002323667,mountain_snowy-s,1793792,890754,70094,0.026810207,crystalline,1530368,873788,52702,0.022412516
21,part,torso,0.080981148,red-c,21004512,3531259,259813,0.010702482,person,14523849,1534274,1178110,0.07917399,torso,7669375,1124318,658775,0.080981148,fabric,8548746,548073,186552,0.020936746,art_studio-s,1229312,380906,17046,0.01069941,striped,2433536,230974,13279,0.005008617
22,texture,zigzagged,0.014753867,blue-c,61494563,2645482,378736,0.005939903,sky,36650987,1538722,389255,0.010297628,ear,784263,413002,10127,0.0085306,painted,13470129,352774,50673,0.003679361,mosque-outdoor-s,225792,864778,8821,0.008154387,zigzagged,1618176,187131,26248,0.014753867
23,part,muzzle,0.015497071,purple-c,10857154,2484326,101538,0.007669067,dog,3793935,1166731,34670,0.007038171,muzzle,666221,283481,14493,0.015497071,glass,2246777,438556,15337,0.005744203,waterfall-fan-s,250880,660081,6107,0.006749155,freckled,1555456,257594,11826,0.006565535
