unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,part,eye,0.013132708,red-c,21004512,2016676,190823,0.008358298,person,14523849,906924,100539,0.006558217,eye,110350,417867,6847,0.013132708,food,1104928,456885,5349,0.003436636,dining_room-s,5694976,519783,31292,0.005060591,cracked,1593088,199906,8904,0.00499078
2,texture,chequered,0.043357339,white-c,72511065,2548942,495114,0.006640042,windowpane,8841352,1157279,65401,0.006584062,frame,136341,296248,3366,0.007842077,glass,2246777,595209,16885,0.005976777,bow_window-outdoor-s,288512,681973,4163,0.004308088,chequered,1530368,260582,74424,0.043357339
3,object,grass,0.01725172,yellow-c,34166024,3133947,296364,0.008009057,grass,12961339,1808096,250477,0.01725172,leg,2786636,544233,14381,0.004336213,food,1104928,609137,10520,0.006175358,building_facade-s,3148544,917177,18986,0.004691684,chequered,1530368,330237,10573,0.005715036
4,color,orange-c,0.004942573,orange-c,30348501,1942569,158816,0.004942573,cabinet,5324231,936943,26971,0.004326295,back,593570,264201,3698,0.004329841,wood,9793596,459688,34876,0.003413056,kitchen-s,9006592,568827,39522,0.00414455,freckled,1555456,131036,3525,0.002094515
5,color,orange-c,0.010504705,orange-c,30348501,2105434,337375,0.010504705,table,4805122,1003990,24003,0.004149101,arm,2299112,351625,12454,0.004720494,wood,9793596,518464,43770,0.004262638,living_room-s,9621248,573220,38832,0.00382369,interlaced,1630720,189809,7780,0.004291824
6,texture,dotted,0.009425349,purple-c,10857154,1807000,64459,0.005115917,motorbike,1440771,972528,19005,0.007937622,headlight,104033,448986,3772,0.006867584,paper,471596,344916,3194,0.003927123,ball_pit-s,275968,453729,3222,0.004435115,dotted,2935296,253406,29774,0.009425349
7,texture,grid,0.068906417,white-c,72511065,2509891,592809,0.00796485,windowpane,8841352,1057592,103506,0.010566756,headboard,500152,285118,8368,0.010770985,glass,2246777,350540,15371,0.005953262,airport_terminal-s,1480192,615396,15508,0.007455482,grid,1682240,640282,149720,0.068906417
8,object,person,0.008301468,red-c,21004512,2107855,138751,0.00603958,person,14523849,1045095,128181,0.008301468,hand,398768,430747,5641,0.006846921,food,1104928,478879,9072,0.005760969,bakery-shop-s,715008,534016,6387,0.005139876,smeared,1869056,218768,9011,0.004334685
9,texture,zigzagged,0.027633434,white-c,72511065,2051269,439550,0.005930026,bicycle,1152271,892406,8073,0.003963952,wheel,1513439,290093,9678,0.005395088,tile,3959469,427630,13070,0.002988092,living_room-s,9621248,531985,36542,0.003612051,zigzagged,1618176,361790,53242,0.027633434
10,texture,zigzagged,0.012940232,orange-c,30348501,2612357,179080,0.005462791,ceiling,12122565,1403957,108908,0.008116793,roof,443437,300947,3044,0.004106078,wood,9793596,387586,28660,0.002822944,building_facade-s,3148544,763741,19142,0.00491685,zigzagged,1618176,472326,26706,0.012940232
11,texture,chequered,0.012701938,blue-c,61494563,2213672,359002,0.00566703,pool table,435101,1298477,14209,0.008264078,roof,443437,435502,5547,0.0063511,fabric,8548746,433488,39565,0.004424294,moon_bounce-s,137984,703675,7250,0.008688785,chequered,1530368,247171,22295,0.012701938
12,texture,chequered,0.011420361,black-c,139916835,1499667,452697,0.003211441,airplane,1293178,710567,9047,0.004535524,stern,184796,304060,2241,0.004605283,paper,471596,336700,1928,0.002390968,office-s,1542912,374802,5470,0.002860514,chequered,1530368,196343,19497,0.011420361
13,texture,chequered,0.006896769,yellow-c,34166024,2422371,221926,0.00610249,road,12902886,1267458,89905,0.006385099,top,381885,276075,2978,0.00454669,granite,1315719,500055,7033,0.00388834,living_room-s,9621248,711136,39759,0.003862863,chequered,1530368,193108,11805,0.006896769
14,texture,sprinkled,0.027384568,blue-c,61494563,2655500,652558,0.010276908,tvmonitor,1019561,1044109,19278,0.009429698,screen,677188,446821,17487,0.015803572,glass,2246777,661005,29475,0.010240395,ball_pit-s,275968,481133,6117,0.008145313,sprinkled,1718528,382682,56007,0.027384568
15,texture,lacelike,0.010590036,black-c,139916835,2496478,502610,0.003541734,cat,4163987,1233837,32983,0.006147992,hair,1159565,488903,11166,0.006819756,metal,3462561,510754,21118,0.005343357,skyscraper-s,4402944,598420,18465,0.003705674,lacelike,1530368,273133,18899,0.010590036
16,texture,chequered,0.016190872,orange-c,30348501,1848070,109702,0.003418906,chair,4633108,796190,19938,0.003685833,arm,2299112,298054,12829,0.004964136,metal,3462561,518983,12857,0.00323961,conference_room-s,2308096,430747,7986,0.002924357,chequered,1530368,166184,27031,0.016190872
17,texture,perforated,0.060767241,blue-c,61494563,3609354,829243,0.012901551,sky,36650987,1788761,793683,0.021082761,crosswalk,241792,96971,1539,0.004563732,plastic-opaque,577397,376074,9304,0.009854189,skyscraper-s,4402944,980193,102768,0.019462276,perforated,1793792,729210,144533,0.060767241
18,texture,waffled,0.009846316,orange-c,30348501,1484902,91228,0.002874031,airplane,1293178,634260,9800,0.005110454,eye,110350,274766,2177,0.005684979,food,1104928,334775,4659,0.00324659,ball_pit-s,275968,316931,2291,0.003879053,waffled,1555456,190642,17025,0.009846316
19,texture,cobwebbed,0.010724724,black-c,139916835,1782645,630557,0.004469851,plant,3760075,837245,21571,0.004714201,wheel,1513439,270175,7182,0.004042936,food,1104928,305814,4100,0.002914743,ball_pit-s,275968,482357,2522,0.003336848,cobwebbed,1505280,317841,19345,0.010724724
20,object,sidewalk,0.00596978,white-c,72511065,2061507,324891,0.004375773,sidewalk,4001057,1094528,30239,0.00596978,body,1291612,333888,7485,0.004626039,ceramic,679072,399994,4845,0.004510245,dining_room-s,5694976,604910,21417,0.003411182,sprinkled,1718528,148472,5028,0.002700363
21,texture,polka-dotted,0.015697417,white-c,72511065,1966900,251653,0.003390348,light,350013,889022,7832,0.006361258,eye,110350,299548,3743,0.009215694,glass,2246777,438129,12537,0.004691343,nursery-s,827904,487117,4046,0.003086253,polka-dotted,1705984,267705,30503,0.015697417
22,material,wood,0.013043547,orange-c,30348501,2526740,381486,0.011740287,table,4805122,961639,38199,0.006668166,drawer,540514,237789,5234,0.006770418,wood,9793596,756822,135843,0.013043547,ballroom-s,363776,504879,3293,0.003805344,cobwebbed,1505280,197483,10749,0.006352784
23,part,crosswalk,0.025060581,red-c,21004512,2707182,92558,0.003918772,skyscraper,1270392,1528190,35104,0.012702833,crosswalk,241792,379611,15192,0.025060581,plastic-opaque,577397,341076,13665,0.015102652,skyscraper-s,4402944,920360,60818,0.011556895,lined,1568000,307869,41225,0.022470299
24,object,windowpane,0.008773641,blue-c,61494563,2909863,285922,0.004459274,windowpane,8841352,1313714,88322,0.008773641,torso,7669375,522180,43320,0.005316489,glass,2246777,828856,18233,0.005963564,kitchen-s,9006592,742037,55023,0.005676216,waffled,1555456,171206,5730,0.003329591
25,texture,swirly,0.009628324,black-c,139916835,2275452,493064,0.003479652,car,5354795,1112815,49227,0.007669689,wheel,1513439,412146,12759,0.006670236,plastic-opaque,577397,471354,8384,0.008058695,airport_terminal-s,1480192,568549,8825,0.004326159,swirly,1605632,213693,17350,0.009628324
26,part,screen,0.011043806,green-c,63326720,2341810,316320,0.004840234,tree,21215516,1279151,130322,0.005827222,screen,677188,296064,10631,0.011043806,painted,13470129,476625,83689,0.006036832,conference_room-s,2308096,619406,11345,0.003890394,chequered,1530368,134152,12983,0.007861162
27,part,arm,0.010220298,blue-c,61494563,2049493,344329,0.005448267,person,14523849,1301315,123667,0.007876128,arm,2299112,594462,29274,0.010220298,fabric,8548746,362729,32490,0.003659202,skyscraper-s,4402944,547551,33101,0.006731411,dotted,2935296,181387,18365,0.00592741
28,part,wheel,0.018473415,white-c,72511065,2375435,320647,0.004300186,bicycle,1152271,1044305,20970,0.009638694,wheel,1513439,484539,36240,0.018473415,ceramic,679072,561508,5944,0.004814374,closet-s,990976,492804,6755,0.004573382,striped,2433536,336909,44327,0.016260118
29,color,red-c,0.01026752,red-c,21004512,2958681,243542,0.01026752,person,14523849,1362931,116800,0.007406477,wheel,1513439,589165,13908,0.0066587,fabric,8548746,872129,50540,0.005393617,bar-s,765184,736580,8499,0.005691555,sprinkled,1718528,227890,8936,0.004612172
30,object,painting,0.011824315,black-c,139916835,2220403,497884,0.003515153,painting,2207098,969487,37122,0.011824315,wheel,1513439,436546,16096,0.008323125,glass,2246777,639569,21090,0.007360599,living_room-s,9621248,529742,37956,0.003753176,swirly,1605632,225489,19884,0.010978133
31,texture,perforated,0.071308879,red-c,21004512,3045231,101838,0.004252481,cradle,157375,1382064,24062,0.015878557,safety side,15966,270271,3896,0.013798917,wallpaper,479323,344684,5664,0.006921303,nursery-s,827904,853569,24176,0.014587609,perforated,1793792,831895,174772,0.071308879
32,part,hand,0.031595503,red-c,21004512,2494118,458710,0.019909357,person,14523849,1343148,251486,0.016104884,hand,398768,568719,29632,0.031595503,food,1104928,486503,13867,0.008790135,supermarket-s,388864,707269,5430,0.004978441,smeared,1869056,215910,9561,0.004606812
33,texture,chequered,0.009596317,orange-c,30348501,3035131,228919,0.006904569,person,14523849,1420751,90686,0.005720102,arm,2299112,530416,17846,0.00634709,glass,2246777,755268,14990,0.005018321,conference_room-s,2308096,767899,15879,0.005189019,chequered,1530368,267298,17087,0.009596317
34,part,wheel,0.019445099,black-c,139916835,2405546,1023192,0.007241315,car,5354795,1333520,72228,0.010917027,wheel,1513439,510971,38614,0.019445099,food,1104928,319057,3968,0.002794333,forest-broadleaf-s,1216768,681493,7454,0.003942232,perforated,1793792,297517,13558,0.006525325
35,color,white-c,0.01923256,white-c,72511065,2684929,1418922,0.01923256,light,350013,1410757,18908,0.010855051,shade,197478,416604,3727,0.006106282,glass,2246777,432287,14493,0.005439149,street-s,28111104,749567,130555,0.004544186,polka-dotted,1705984,362244,23801,0.011641893
36,texture,zigzagged,0.035111891,white-c,72511065,2491720,515818,0.006924943,bicycle,1152271,935409,18072,0.008732088,wheel,1513439,289288,22685,0.012744081,metal,3462561,527561,26898,0.006786899,car_interior-backseat-s,163072,464751,4958,0.007959991,zigzagged,1618176,477142,71075,0.035111891
37,texture,lined,0.044427007,white-c,72511065,3042929,468701,0.006242248,car,5354795,1537618,84897,0.012471069,crosswalk,241792,441559,21620,0.032671886,metal,3462561,475630,20140,0.005140311,building_facade-s,3148544,797104,27290,0.006964652,lined,1568000,589617,91779,0.044427007
38,part,drawer,0.012305425,pink-c,18491188,2021666,71882,0.003516565,cabinet,5324231,978015,27376,0.0043628,drawer,540514,300234,10220,0.012305425,tile,3959469,435206,17766,0.004059029,kitchen-s,9006592,546149,38405,0.00403654,cracked,1593088,179047,14393,0.008188346
39,texture,zigzagged,0.063892189,white-c,72511065,3593358,464750,0.006144262,track,493725,1294035,28654,0.016288956,crosswalk,241792,286601,6234,0.011938892,metal,3462561,628135,52681,0.013046262,escalator-indoor-s,175616,735126,8929,0.009901166,zigzagged,1618176,1029491,159006,0.063892189
40,texture,striped,0.025885081,white-c,72511065,2762623,428603,0.005726535,bus,1628191,1227284,23674,0.008360051,wheel,1513439,482230,18166,0.009186332,metal,3462561,585424,22093,0.005487728,dining_room-s,5694976,629322,25381,0.004029423,striped,2433536,392722,71312,0.025885081
41,texture,chequered,0.008167307,white-c,72511065,1902914,208580,0.002810847,car,5354795,855173,35353,0.005725539,wheel,1513439,363699,10208,0.0054678,tile,3959469,483499,14596,0.003296019,cockpit-s,539392,408799,3269,0.003459545,chequered,1530368,232223,14279,0.008167307
42,texture,chequered,0.00800372,white-c,72511065,1771583,205942,0.002780118,painting,2207098,874638,18310,0.005976968,frame,136341,336396,2358,0.005012979,glass,2246777,467116,8732,0.003227904,building_facade-s,3148544,532745,14712,0.004012462,chequered,1530368,134458,13219,0.00800372
43,material,painted,0.009922439,blue-c,61494563,2822566,361379,0.005650454,sky,36650987,1466668,359105,0.009510561,screen,677188,245981,5768,0.006287327,painted,13470129,594775,138187,0.009922439,skyscraper-s,4402944,735010,28897,0.005656034,,24924928,121306,71817,0.002875623
44,object,ceiling,0.012117767,purple-c,10857154,3063395,128691,0.00933094,ceiling,12122565,1308090,160801,0.012117767,roof,443437,307327,4758,0.006377965,wood,9793596,720523,68072,0.006516532,poolroom-home-s,1317120,734737,11217,0.005496805,chequered,1530368,292024,16313,0.009032274
45,object,sky,0.012406158,yellow-c,34166024,2863189,224137,0.006089839,sky,36650987,1564207,468294,0.012406158,body,1291612,421637,8168,0.004790388,painted,13470129,543733,111120,0.007992668,mountain_snowy-s,1793792,832479,15346,0.00587761,,24924928,151427,87521,0.003502404
46,texture,chequered,0.009686162,white-c,72511065,2107314,226933,0.003050525,track,493725,992379,8976,0.006076657,wheel,1513439,403234,13223,0.00694686,granite,1315719,477116,8469,0.004746224,staircase-s,865536,464279,6587,0.004977978,chequered,1530368,269024,17262,0.009686162
47,color,red-c,0.056931614,red-c,21004512,3202453,1303908,0.056931614,bus,1628191,1412612,43413,0.014483601,arm,2299112,559294,30591,0.010817893,plastic-opaque,577397,490466,14974,0.014221822,ball_pit-s,275968,600473,25349,0.029784089,dotted,2935296,923545,143869,0.038726806
48,texture,chequered,0.00829559,black-c,139916835,1889532,545573,0.003862169,person,14523849,859262,57177,0.003730735,leg,2786636,324735,12805,0.004132557,fabric,8548746,452747,23667,0.002636162,living_room-s,9621248,467901,27522,0.002735343,chequered,1530368,218314,14387,0.00829559
49,part,wheel,0.025322353,pink-c,18491188,1964836,82561,0.004052379,bicycle,1152271,839399,20314,0.010304582,wheel,1513439,449636,48482,0.025322353,ceramic,679072,374296,7969,0.007622927,ball_pit-s,275968,362208,4750,0.007498903,dotted,2935296,373276,74632,0.023077732
